control,layer,score,selected_for_subtraction
default_differential,encoder.layer.11,0.9584304923914957,True
default_differential,encoder.layer.10,0.6054432396515691,True
default_differential,encoder.layer.8,0.5456081142467415,True
default_differential,encoder.layer.9,0.5248264702044397,True
default_differential,encoder.layer.6,0.3881050874505599,False
default_differential,encoder.layer.7,0.3252157805677396,False
default_differential,encoder.layer.3,0.26121766255122186,False
default_differential,encoder.layer.5,0.1946262674456317,False
equal_rank_low,encoder.layer.11,0.7932692144084696,True
equal_rank_low,encoder.layer.10,0.6283262254447364,True
equal_rank_low,encoder.layer.9,0.4926173835685863,True
equal_rank_low,encoder.layer.5,0.26383800671457547,True
equal_rank_low,encoder.layer.4,0.2500000033437021,False
equal_rank_low,encoder.layer.7,0.24625077460376565,False
equal_rank_low,encoder.layer.6,0.23723001545595218,False
equal_rank_low,encoder.layer.8,0.1656837155792656,False
equal_rank_high,encoder.layer.11,0.7613636584750282,True
equal_rank_high,encoder.layer.9,0.45859096329139254,True
equal_rank_high,encoder.layer.10,0.38763737387012714,True
equal_rank_high,encoder.layer.6,0.30441775197350984,True
equal_rank_high,encoder.layer.7,0.22520473833305849,False
equal_rank_high,encoder.layer.8,0.21685648415100364,False
equal_rank_high,encoder.layer.5,0.16118937037331071,False
equal_rank_high,encoder.layer.4,0.02272727064382715,False
reversed_rank_default,encoder.layer.11,0.836206871916689,True
reversed_rank_default,encoder.layer.10,0.7932162486128957,True
reversed_rank_default,encoder.layer.9,0.5982868408839832,True
reversed_rank_default,encoder.layer.2,0.3780749146195063,True
reversed_rank_default,encoder.layer.4,0.2574875733621108,False
reversed_rank_default,encoder.layer.5,0.24546322924573744,False
reversed_rank_default,encoder.layer.8,0.2042050456739726,False
reversed_rank_default,encoder.layer.3,0.16294517030057404,False
